,Karisuma 14,SMASHADELPHIA 2017,ALPHA,Midwest Mayhem 9,Umebura 27,UNLOCKED,Albion 2,TGL Presents: Divided,2GGC: Arms Saga,Evo 2017,DreamHack Atlanta 2017,Get On My Level 2017,IGX - International Gaming Expo,Low Tier City 5,Smash Factor 6,Sumabato 19,Umebura 28,Super Smash Con 2017,2GGC: SCR Saga,Dubai Dojo 2,Shine 2017,PAX Arena at PAX West 2017,2GGC: West Side Saga,DreamHack Montreal 2017,Showdown: Battle Royale 2,Sumabato 20,Syndicate 2017,GameTyrant Expo 2017,The Big House 7,2GGC: Fire Emblem Saga,Sumabato 21,DreamHack Denver 2017,Who's Your Pappy #10,Umebura 29,Canada Cup 2017,Clutch City Clash 2,TGL & PG Present: Too Hot to Handle,2GGC: MkLeo Saga,GatorLAN Fall 2017,Port Priority 2: Midwest Invasion,IBP Masters Showdown,Sumabato 22,Umebura 30,Super FamiCon 2017,Tech Republic III,Midwest Mayhem 10,Rikabura 8,2GGC: Last Chance Qualifier,2GG Championship
ZeRo,,,,1st,,,,,2nd,2nd,9th,,,2nd,,,,2nd,1st,,1st,1st,1st,,,,,3rd,4th,,,1st,,,,1st,,13th,,,,,,,,2nd,,,2nd
MKLeo,,,,,,,,,,,17th,,1st,,1st,,,3rd,2nd,,5th,9th,,,,,,1st,,9th,,,,,1st,,,3rd,,,1st,,,,,,,,1st
Nairo,,,,2nd,,,,,,5th,4th,,,,,,,1st,7th,,3rd,2nd,5th,,,,,9th,9th,2nd,,,,,,,,4th,,,,,,,,,,,10th
Dabuz,,2nd,1st,,,,,,1st,7th,7th,,,,,,,33rd,,,,,,4th,,,,9th,1st,,,,,,,,2nd,5th,,,,,,1st,,,,,4th
Ally,,,,,,,,,,49th,13th,,,,,,,33rd,9th,,5th,4th,,5th,,,,25th,7th,,,,,,5th,,,,,,9th,,,,,,,,9th
Larry Lurr,,,,,,,,,9th,3rd,5th,2nd,,7th,,,,33rd,3rd,,7th,7th,,1st,,,,4th,7th,25th,,3rd,,,3rd,,,9th,,,2nd,,,,,,,,11th
CaptainZack,,,,4th,,,,,,17th,13th,,,5th,,,,33rd,5th,,17th,9th,,,,,,25th,13th,17th,,,,,,,4th,17th,,,,,,3rd,,,,,11th
Komorikiri/komorikiri,5th,,,,,,,,5th,13th,,,,,,,,17th,9th,,7th,,,,,5th,,17th,9th,3rd,,,,,,,,25th,,,4th,,,,,,,,16th
Mr.R,,,,,,,,,,17th,7th,,,,2nd,,,4th,9th,,,,,,,,1st,5th,9th,,,,,,,,,9th,,,7th,,,,,4th,,4th,
Abadango,,,,,1st,,,,13th,9th,,,,7th,,,,33rd,17th,,,,9th,,,,,25th,17th,25th,,5th,,2nd,,,,7th,,,,,2nd,,,,,,7th
Salem,,,,,,1st,,,,1st,1st,,,,,,,7th,7th,,4th,3rd,,,,,,9th,5th,1st,,2nd,,,,,5th,9th,,,,,,,,1st,,,3rd
Tweek,,,,3rd,,,,,7th,4th,3rd,,,1st,,,,13th,9th,,2nd,11th,2nd,,,,,17th,17th,4th,,,,,,,,1st,,,,,,,,3rd,,,16th
VoiD,,,,,,,,,4th,7th,2nd,,,,,,,9th,5th,,13th,5th,,,,,,17th,9th,5th,,,,,,,,17th,,,5th,,,,,,,,7th
Marss,,,,,,,,,,,,,,,,,,,,,13th,,,,,,,17th,2nd,,,,,,,,,25th,,,,,,,,,,,
Fatality,,,,,,,,,,33rd,17th,5th,,,,,,17th,17th,,,,,,1st,,,25th,,,,,,,,,,,,,,,,9th,,,,,16th
KEN,,,,,7th,,,,3rd,5th,,,,,,,1st,,,1st,,,4th,,,,2nd,,,17th,,,,5th,,,,2nd,,,3rd,,5th,,,,1st,,5th
Ranai,5th,,,,,,,,9th,17th,,,,,,,,,,7th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESAM,,1st,,,,2nd,,2nd,,49th,9th,,,4th,,,,13th,,,13th,,,2nd,,,,17th,25th,,,5th,,,,,3rd,17th,,,,,,2nd,,,,,
Kirihara,,,,,2nd,,,,,,,,,,,,4th,,,,,,5th,,,,,,,9th,,,,9th,,,,9th,,,,,13th,,,,2nd,,11th
Zinoto,,,,5th,,,,,,17th,,,,,,,,,,,17th,,9th,,,,,13th,13th,,,,,,4th,,,25th,,,,,,,,,,,
